Year,Carrier,Total
2015,OR,1510
2015,AA,9025
2015,PY,2101
2015,AA,23126
2015,WL,775
2015,8I,4691
2015,AV,5606
2015,AA,5157
2015,AA,13713
2015,AA,5624
2015,JJ,2742
2015,AA,16881
2015,9V,9099
2015,AV,27277
2015,AA,18822
2015,4C,11823
2015,OR,4644
2015,TB,4642
2015,AA,7037
2015,JJ,12305
2015,VJT,3
2015,AA,7986
2015,AA,5640
2015,LA,202
2015,AA,14973
2015,09Q,179
2015,S3,24847
2015,1BQ,116
2015,AF,22161
2015,AA,10401
2015,XP,450
2015,MQ,324
2015,23Q,450
2015,LA,178
2015,AA,41351
2015,5D,25
2015,4O,3781
2015,AV,6399
2015,AA,6779
2015,AA,993
2015,XP,167
2015,WL,1767
2015,23Q,167
2015,EE,1043
2015,AA,5981
2015,JJ,4716
2015,AR,3753
2015,AV,5031
2015,AA,13079
2015,WL,95
2015,7I,6379
2015,AA,4198
2015,KX,284
2015,AA,1289
2015,QR,9668
2015,AB,15517
2015,AR,27879
2015,AA,27545
2015,4M,12651
2015,AZ,13052
2015,YX,1327
2015,JJ,1851
2015,YX,7686
2015,09Q,680
2015,2AQ,7
2015,LH,26962
2015,BA,81
2015,AA,13400
2015,KX,9664
2015,PY,1800
2015,YX,2871
2015,EE,1
2015,AA,13285
2015,JJ,11305
2015,AA,6440
2015,AA,38362
2015,JJ,44885
2015,TA,1654
2015,AA,19345
2015,09Q,30
2015,AA,22343
2015,AA,9579
2015,XP,1058
2015,WL,14630
2015,MQ,750
2015,09Q,7821
2015,23Q,1058
2015,EE,12256
2015,AY,1284
2015,AA,1802
2015,XP,148
2015,WL,1042
2015,MQ,308
2015,23Q,148
2015,TK,2629
2015,TK,2629
2015,AA,23103
2015,12Q,1
2015,BA,38274
2015,VS,17373
2015,AA,29034
2015,AA,21009
2015,LP,26443
2015,TQQ,12596
2015,AA,4738
2015,TP,8814
2015,AA,4604
2015,0Q,4
2015,IB,27726
2015,AA,13840
2015,UX,9503
2015,MT,5069
2015,AA,4483
2015,JJ,5564
2015,AA,4691
2015,AA,20515
2015,AV,6545
2015,AA,11771
2015,AM,18941
2015,AA,28452
2015,4O,13343
2015,TA,6248
2015,AA,13518
2015,YX,683
2015,5D,2274
2015,AA,2761
2015,5D,2093
2015,LH,2096
2015,AA,10088
2015,AA,10853
2015,UP,10088
2015,AA,171
2015,MQ,232
2015,YX,20791
2015,13Q,8
2015,VJT,7
2015,AF,3646
2015,AA,23912
2015,09Q,93
2015,AM,85
2015,DL,50
2015,AA,8029
2015,YX,5448
2015,VJT,7
2015,AA,4113
2015,AA,7967
2015,BW,6799
2015,AA,17652
2015,YX,486
2015,CM,37079
2015,AA,14704
2015,LA,1346
2015,AA,17687
2015,4M,1501
2015,G3,4639
2015,AA,4938
2015,AA,1015
2015,TA,6878
2015,AA,5604
2015,TA,4584
2015,AA,6950
2015,LA,28639
2015,AA,10032
2015,XP,218
2015,WL,560
2015,09Q,140
2015,23Q,218
2015,AA,25777
2015,09Q,15
2015,AA,15642
2015,AA,7314
2015,AA,2777
2015,XP,628
2015,WL,1265
2015,09Q,608
2015,23Q,628
2015,EE,1805
2015,AA,3389
2015,DL,56
2015,AA,6963
2015,SU,4080
2015,AA,11953
2015,AA,6764
2015,AA,18857
2015,XL,7032
2015,AA,9181
2015,AA,9493
2015,OS,4517
2015,UN,1130
2015,AA,4868
2015,AC,530
2015,DL,44
2015,AA,12855
2015,AC,7251
2015,AA,22819
2015,WS,1206
2015,13Q,14
2015,LX,14918
2015,AC,368
2015,WN,1276
2015,DL,36
2015,ZX,2946
2015,15Q,5
2015,13Q,5
